31200US125400603526,"Bakersfield city, CA; Bakersfield, CA Metro Area"
31200US170200613014,"Chico city, CA; Chico, CA Metro Area"
31200US234200627000,"Fresno city, CA; Fresno, CA Metro Area"
31200US310800602000,"Anaheim city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800608954,"Burbank city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800611530,"Carson city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800616532,"Costa Mesa city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800630000,"Glendale city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800636770,"Irvine city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800643000,"Long Beach city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800644000,"Los Angeles city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800651182,"Newport Beach city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800653980,"Orange city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800656000,"Pasadena city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800669000,"Santa Ana city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800670000,"Santa Monica city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800680000,"Torrance city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US310800680854,"Tustin city, CA; Los Angeles-Long Beach-Anaheim, CA Metro Area"
31200US329000646898,"Merced city, CA; Merced, CA Metro Area"
31200US337000648354,"Modesto city, CA; Modesto, CA Metro Area"
31200US349000650258,"Napa city, CA; Napa, CA Metro Area"
31200US371000610046,"Camarillo city, CA; Oxnard-Thousand Oaks-Ventura, CA Metro Area"
31200US371000654652,"Oxnard city, CA; Oxnard-Thousand Oaks-Ventura, CA Metro Area"
31200US371000665042,"San Buenaventura (Ventura) city, CA; Oxnard-Thousand Oaks-Ventura, CA Metro Area"
31200US371000678582,"Thousand Oaks city, CA; Oxnard-Thousand Oaks-Ventura, CA Metro Area"
31200US398200659920,"Redding city, CA; Redding, CA Metro Area"
31200US401400613210,"Chino city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400616350,"Corona city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400653896,"Ontario city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400659962,"Redlands city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400662000,"Riverside city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400665000,"San Bernardino city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400678120,"Temecula city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US401400682590,"Victorville city, CA; Riverside-San Bernardino-Ontario, CA Metro Area"
31200US409000602553,"Arden-Arcade CDP, CA; Sacramento--Roseville--Arden-Arcade, CA Metro Area"
31200US409000624638,"Folsom city, CA; Sacramento--Roseville--Arden-Arcade, CA Metro Area"
31200US409000659444,"Rancho Cordova city, CA; Sacramento--Roseville--Arden-Arcade, CA Metro Area"
31200US409000662938,"Roseville city, CA; Sacramento--Roseville--Arden-Arcade, CA Metro Area"
31200US409000664000,"Sacramento city, CA; Sacramento--Roseville--Arden-Arcade, CA Metro Area"
31200US415000664224,"Salinas city, CA; Salinas, CA Metro Area"
31200US417400611194,"Carlsbad city, CA; San Diego-Carlsbad, CA Metro Area"
31200US417400666000,"San Diego city, CA; San Diego-Carlsbad, CA Metro Area"
31200US418600606000,"Berkeley city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600633000,"Hayward city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600653000,"Oakland city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600657792,"Pleasanton city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600660102,"Redwood City city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600667000,"San Francisco city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600668084,"San Leandro city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600668378,"San Ramon city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600673262,"South San Francisco city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US418600683346,"Walnut Creek city, CA; San Francisco-Oakland-Hayward, CA Metro Area"
31200US419400647766,"Milpitas city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US419400649670,"Mountain View city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US419400655282,"Palo Alto city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US419400668000,"San Jose city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US419400669084,"Santa Clara city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US419400677000,"Sunnyvale city, CA; San Jose-Sunnyvale-Santa Clara, CA Metro Area"
31200US422000669070,"Santa Barbara city, CA; Santa Maria-Santa Barbara, CA Metro Area"
31200US422000669196,"Santa Maria city, CA; Santa Maria-Santa Barbara, CA Metro Area"
31200US422200670098,"Santa Rosa city, CA; Santa Rosa, CA Metro Area"
31200US447000675000,"Stockton city, CA; Stockton-Lodi, CA Metro Area"
31200US467000623182,"Fairfield city, CA; Vallejo-Fairfield, CA Metro Area"
31200US467000681666,"Vallejo city, CA; Vallejo-Fairfield, CA Metro Area"
31200US473000682954,"Visalia city, CA; Visalia-Porterville, CA Metro Area"
31200US497000686972,"Yuba City city, CA; Yuba City, CA Metro Area"
