16000US1702154,"Arlington Heights village, Illinois"
16000US1703012,"Aurora city, Illinois"
16000US1706613,"Bloomington city, Illinois"
16000US1707133,"Bolingbrook village, Illinois"
16000US1712385,"Champaign city, Illinois"
16000US1714000,"Chicago city, Illinois"
16000US1714351,"Cicero town, Illinois"
16000US1718823,"Decatur city, Illinois"
16000US1723074,"Elgin city, Illinois"
16000US1724582,"Evanston city, Illinois"
16000US1738570,"Joliet city, Illinois"
16000US1751622,"Naperville city, Illinois"
16000US1757225,"Palatine village, Illinois"
16000US1759000,"Peoria city, Illinois"
16000US1765000,"Rockford city, Illinois"
16000US1768003,"Schaumburg village, Illinois"
16000US1770122,"Skokie village, Illinois"
16000US1772000,"Springfield city, Illinois"
16000US1779293,"Waukegan city, Illinois"
