31200US140101706613,"Bloomington city, IL; Bloomington, IL Metro Area"
31200US165801712385,"Champaign city, IL; Champaign-Urbana, IL Metro Area"
31200US169801702154,"Arlington Heights village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801714000,"Chicago city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801723074,"Elgin city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801724582,"Evanston city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801751622,"Naperville city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801768003,"Schaumburg village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US169801770122,"Skokie village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
31200US195001718823,"Decatur city, IL; Decatur, IL Metro Area"
31200US379001759000,"Peoria city, IL; Peoria, IL Metro Area"
31200US404201765000,"Rockford city, IL (part); Rockford, IL Metro Area"
31200US441001772000,"Springfield city, IL; Springfield, IL Metro Area"
