16000US3403580,"Bayonne city, New Jersey"
16000US3410000,"Camden city, New Jersey"
16000US3413690,"Clifton city, New Jersey"
16000US3419390,"East Orange city, New Jersey"
16000US3421000,"Elizabeth city, New Jersey"
16000US3436000,"Jersey City city, New Jersey"
16000US3451000,"Newark city, New Jersey"
16000US3456550,"Passaic city, New Jersey"
16000US3457000,"Paterson city, New Jersey"
16000US3473110,"Toms River CDP, New Jersey"
16000US3474000,"Trenton city, New Jersey"
16000US3474630,"Union City city, New Jersey"
